description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Herb + Standard of Heros = Repair Augment on Unique Weapon	1				0					3	weap,uni	std	hsm					useitem				rep-dur		25																																																																																	0
Herb + Standard of Heros = Repair Augment on Crafted Item	1				0					3	any,crf	std	hsm					useitem				rep-dur		25																																																																																	0
Block Bows	1				100					2	bow	fel						useitem																													fel																																																										0
Weapon + Flask = Ethereal Weapon	1				100					2	weap,noe	fel						useitem	99		99	ethereal	100		1	1																																																																															0
Armor + Flask = Ethereal Armor	1				100					2	armo,noe	fel						useitem	99		99	ethereal	100		1	1																																																																															0
Helm + Standard Of Heroes + Jah + Lo + Vex = MF + GF Helm	1				0					6	helm	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Weapon + Standard Of Heroes + Jah + Lo + Vex = MF + GF Weapon	1				0					6	weap	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Amulet + Standard Of Heroes + Jah + Lo + Vex = MF + GF Amulet	1				0					6	amu	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Shield + Standard Of Heroes + Jah + Lo + Vex = MF + GF Shield	1				0					6	shld	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Ring + Standard Of Heroes + Jah + Lo + Vex = MF + GF Ring	1				0					6	ring	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Gloves + Standard Of Heroes + Jah + Lo + Vex = MF + GF Gloves	1				0					6	glov	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Boots + Standard Of Heroes + Jah + Lo + Vex = MF + GF Boots	1				0					6	boot	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Armor + Standard Of Heroes + Jah + Lo + Vex = MF + GF Armor	1				0					6	tors	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Belt + Standard Of Heroes + Jah + Lo + Vex = MF + GF Belt	1				0					6	belt	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Helm + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Helm	1				0					5	helm	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Weapon + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Weapon	1				0					5	weap	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Amulet + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Amulet	1				0					5	amu	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Shield + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Shield	1				0					5	shld	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Ring + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Ring	1				0					5	ring	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Gloves + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Gloves	1				0					5	glov	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Boots + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Boots	1				0					5	boot	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Armor + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Armor	1				0					5	tors	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Belt + Standard Of Heroes + Charsi's Malus + Gul = Melee Augment Belt	1				0					5	belt	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Armor + Standard Of Heroes + Cham + Sur + The Stone Of Jordan = Teleport + MF + GF Armor	1				0					6	tors	r33	r29	The Stone of Jordan	std	mls		useitem				oskill		54	1	1	augmented1			1	1	mag%/lvl		3			gold%/lvl		6			addxp			2	2																																																											0
Charsi's Malus + Hellfire Torch = 1 Hellfire Ashes	1				0					2	Hellfire Torch	mls						tds																																																																																							0
Hellfire Ash + Stamina Potion -> 2 Standard of Heroes	1				0					2	tds	wms						std																													std																																																										0
Charsi's Malus + Annihilus  -> 3 Standard of Heroes	1				0					2	Annihilus	mls						std																													std																													std																													0
Charsi's Malus + Gheed's Fortune -> 3 MF Potions	1				0					2	Gheed's Fortune	mls						mfp																													mfp																													mfp																													0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1				100					2	"weap,noe"	r09						"useitem,rep,rch,qty=500"																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1				100					2	"armo,noe"	r08						"useitem,rep,rch,qty=500"																																																																																							0
1 Ort Rune + 1 Chipped Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	1				100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=500"																																																																																							0
1 Ral Rune + 1 Flawed Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	1				100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=500"																																																																																							0
1 pk2 + Thawing Potion  -> 1 pk1	1				100					2	pk2	wms						pk1																																																																																							0
1 pk3 + Thawing Potion -> 1 pk1	1				100					2	pk3	wms						pk1																																																																																							0
3 Pandemonium Keys -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)	1				100	28				3	ukey,qty=3							Pandemonium Portal																																																																																							0
3 Demon Ear's  -> Portal to Tristram (Pandemonium Finale)	1				100	28				3	orgn,qty=3							Pandemonium Finale Portal																																																																																							0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction -> Uber Keys	1				100					4	tes	ceh	bet	fed				pk1																													pk1																													pk1																													0
3 Twisted Essence of Suffering -> 1 Charged Essence of Hatred	1				100					3	tes,qty=3							ceh																																																																																							0
3 Charged Essence of Hatred -> 1 Burning Essence of Terror	1				100					3	ceh,qty=3							bet																																																																																							0
3 Burning Essence of Terror -> 1 Festering Essence of Destruction	1				100					3	bet,qty=3							fed																																																																																							0
3 Festering Essence of Destruction -> Twisted Essence of Suffering	1				100					3	fed,qty=3							tes,qty=3																																																																																							0
35 Standard of Heroes + Thawing Potion = Flask of Etheric Light	1				100					36	std,qty=35	wms						fel																																																																																							0
20 Bricks = Pile of Bricks	1				100					20	brk,qty=20							mbk																																																																																							0
10 Bricks + Thawing Potion = Gul Rune	1				100					11	brk,qty=10	wms						r25	99		99																																																																																				0
20 Bricks + Thawing Potion = Vex Rune	1				100					21	brk,qty=20	wms						r26	99		99																																																																																				0
30 Bricks + Thawing Potion = Ohm Rune	1				100					31	brk,qty=30	wms						r27	99		99																																																																																				0
9 Pskulls + 3 Hellfire Ash + Larzuk's Forging Hammer + Unique Jewel = Random Unique Jewel	1				100					14	skz,qty=9	lmr	jew,uni	tds,qty=3				jew,uni	99		99																																																																																				0
5 Pile of Bricks + Prime Sigil = The Divine Standard 	1				100					6	mbk,qty=5	gwh						dsd	99		99																																																																																				0
5 Ascended Diamonds + Prime Sigil = Diablo's Soulstone + SoH	1				100					6	gaw,qty=5	gwh						dss																													std	99		99																																																							0
5 Ascended Amethysts + Prime Sigil = 2 Unique Amulets + SoH	1				100					6	gav,qty=5	gwh						amu,uni	99		99																										amu,uni	99		99																										std	99		99																										0
5 Ascended Rubies + Prime Sigil = 2 Unique Rings + SoH	1				100					6	gar,qty=5	gwh						rin,uni	99		99																										rin,uni	99		99																										std	99		99																										0
5 Ascended Sapphires + Prime Sigil = Facet + SoH	1				100					6	gab,qty=5	gwh						jew,uni	97		97																										std	99		99																																																							0
5 Ascended Emeralds + Prime Sigil = Gheeds + SoH	1				100					6	gag,qty=5	gwh						Gheed's Fortune	99		99																										std	99		99																																																							0
5 Ascended Topazes + Prime Sigil = Vex Rune + SoH	1				100					6	gay,qty=5	gwh						r24																													std	99		99																																																							0
5 Ascended Skulls + Prime Sigil = Fracture Halo + Infernal Maw + SoH	1				100					6	ska,qty=5	gwh						rrr																													rtr																													std	99		99																										0
3 Chipped Amethysts -> Flawed Amethyst	1				100					3	"gcv,qty=3"							gfv																																																																																							0
3 Flawed Amethysts -> Standard Amethyst	1				100					3	"gfv,qty=3"							gsv																																																																																							0
3 Standard Amethysts -> Flawless Amethyst	1				100					3	"gsv,qty=3"							gzv																																																																																							0
3 Flawless Amethysts -> Perfect Amethyst	1				100					3	"gzv,qty=3"							gpv																																																																																							0
3 Chipped Rubies -> Flawed Ruby	1				100					3	"gcr,qty=3"							gfr																																																																																							0
3 Flawed Rubies -> Standard Ruby	1				100					3	"gfr,qty=3"							gsr																																																																																							0
3 Standard Rubies -> Flawless Ruby	1				100					3	"gsr,qty=3"							glr																																																																																							0
3 Flawless Rubies -> Perfect Ruby	1				100					3	"glr,qty=3"							gpr																																																																																							0
3 Chipped Sapphires -> Flawed Sapphire	1				100					3	"gcb,qty=3"							gfb																																																																																							0
3 Flawed Sapphires -> Standard Sapphire	1				100					3	"gfb,qty=3"							gsb																																																																																							0
3 Standard Sapphires -> Flawless Sapphire	1				100					3	"gsb,qty=3"							glb																																																																																							0
3 Flawless Sapphires -> Perfect Sapphire	1				100					3	"glb,qty=3"							gpb																																																																																							0
3 Chipped Topazes -> Flawed Topaz	1				100					3	"gcy,qty=3"							gfy																																																																																							0
3 Flawed Topazes -> Standard Topaz	1				100					3	"gfy,qty=3"							gsy																																																																																							0
3 Standard Topazes -> Flawless Topaz	1				100					3	"gsy,qty=3"							gly																																																																																							0
3 Flawless Topazes -> Perfect Topaz	1				100					3	"gly,qty=3"							gpy																																																																																							0
3 Chipped Emeralds -> Flawed Emerald	1				100					3	"gcg,qty=3"							gfg																																																																																							0
3 Flawed Emeralds -> Standard Emerald	1				100					3	"gfg,qty=3"							gsg																																																																																							0
3 Standard Emeralds -> Flawless Emerald	1				100					3	"gsg,qty=3"							glg																																																																																							0
3 Flawless Emeralds -> Perfect Emerald	1				100					3	"glg,qty=3"							gpg																																																																																							0
3 Chipped Diamonds -> Flawed Diamond	1				100					3	"gcw,qty=3"							gfw																																																																																							0
3 Flawed Diamonds -> Standard Diamond	1				100					3	"gfw,qty=3"							gsw																																																																																							0
3 Standard Diamonds -> Flawless Diamond	1				100					3	"gsw,qty=3"							glw																																																																																							0
3 Flawless Diamonds -> Perfect Diamond	1				100					3	"glw,qty=3"							gpw																																																																																							0
3 Chipped Skulls -> Flawed Skull	1				100					3	"skc,qty=3"							skf																																																																																							0
3 Flawed Skulls -> Standard Skull	1				100					3	"skf,qty=3"							sku																																																																																							0
3 Standard Skulls -> Flawless Skull	1				100					3	"sku,qty=3"							skl																																																																																							0
3 Flawless Skulls -> Perfect Skull	1				100					3	"skl,qty=3"							skz																																																																																							0
9 Chipped Amethysts -> 3 Flawed Amethyst	1				100					9	"gcv,qty=9"							gfv																													gfv																													gfv																													0
9 Flawed Amethysts -> 3 Standard Amethyst	1				100					9	"gfv,qty=9"							gsv																													gsv																													gsv																													0
9 Standard Amethysts -> 3 Flawless Amethyst	1				100					9	"gsv,qty=9"							gzv																													gzv																													gzv																													0
9 Flawless Amethysts -> 3 Perfect Amethyst	1				100					9	"gzv,qty=9"							gpv																													gpv																													gpv																													0
9 Chipped Rubies -> 3 Flawed Ruby	1				100					9	"gcr,qty=9"							gfr																													gfr																													gfr																													0
9 Flawed Rubies -> 3 Standard Ruby	1				100					9	"gfr,qty=9"							gsr																													gsr																													gsr																													0
9 Standard Rubies -> 3 Flawless Ruby	1				100					9	"gsr,qty=9"							glr																													glr																													glr																													0
9 Flawless Rubies -> 3 Perfect Ruby	1				100					9	"glr,qty=9"							gpr																													gpr																													gpr																													0
9 Chipped Sapphires -> 3 Flawed Sapphire	1				100					9	"gcb,qty=9"							gfb																													gfb																													gfb																													0
9 Flawed Sapphires -> 3 Standard Sapphire	1				100					9	"gfb,qty=9"							gsb																													gsb																													gsb																													0
9 Standard Sapphires -> 3 Flawless Sapphire	1				100					9	"gsb,qty=9"							glb																													glb																													glb																													0
9 Flawless Sapphires -> 3 Perfect Sapphire	1				100					9	"glb,qty=9"							gpb																													gpb																													gpb																													0
9 Chipped Topazes -> 3 Flawed Topaz	1				100					9	"gcy,qty=9"							gfy																													gfy																													gfy																													0
9 Flawed Topazes -> 3 Standard Topaz	1				100					9	"gfy,qty=9"							gsy																													gsy																													gsy																													0
9 Standard Topazes -> 3 Flawless Topaz	1				100					9	"gsy,qty=9"							gly																													gly																													gly																													0
9 Flawless Topazes -> 3 Perfect Topazes 	1				100					9	"gly,qty=9"							gpy																													gpy																													gpy																													0
9 Chipped Emeralds -> 3 Flawed Emerald	1				100					9	"gcg,qty=9"							gfg																													gfg																													gfg																													0
9 Flawed Emeralds -> 3 Standard Emerald	1				100					9	"gfg,qty=9"							gsg																													gsg																													gsg																													0
9 Standard Emeralds -> 3 Flawless Emerald	1				100					9	"gsg,qty=9"							glg																													glg																													glg																													0
9 Flawless Emeralds -> 3 Perfect Emerald	1				100					9	"glg,qty=9"							gpg																													gpg																													gpg																													0
9 Chipped Diamonds -> 3 Flawed Diamond	1				100					9	"gcw,qty=9"							gfw																													gfw																													gfw																													0
9 Flawed Diamonds -> 3 Standard Diamond	1				100					9	"gfw,qty=9"							gsw																													gsw																													gsw																													0
9 Standard Diamonds -> 3 Flawless Diamond	1				100					9	"gsw,qty=9"							glw																													glw																													glw																													0
9 Flawless Diamonds -> 3 Perfect Diamond	1				100					9	"glw,qty=9"							gpw																													gpw																													gpw																													0
9 Chipped Skulls -> 3 Flawed Skull	1				100					9	"skc,qty=9"							skf																													skf																													skf																													0
9 Flawed Skulls -> 3 Standard Skull	1				100					9	"skf,qty=9"							sku																													sku																													sku																													0
9 Standard Skulls -> 3 Flawless Skull	1				100					9	"sku,qty=9"							skl																													skl																													skl																													0
9 Flawless Skulls -> 3 Perfect Skull	1				100					9	"skl,qty=9"							skz																													skz																													skz																													0
27 Standard Amethysts + Thawing = 3 Perfect Amethysts	1				100					28	gsv,gty=27	wms						gpv																													gpv																													gpv																													0
27 Standard Rubies + Thawing = 3 Perfect Rubies	1				100					28	gsr,gty=27	wms						gpr																													gpr																													gpr																													0
27 Standard Sapphires + Thawing = 3 Perfect Sapphires 	1				100					28	gsb,gty=27	wms						gpb																													gpb																													gpb																													0
27 Standard Topazes + Thawing = 3 Perfect Topazes 	1				100					28	gsy,gty=27	wms						gpy																													gpy																													gpy																													0
27 Standard Emeralds + Thawing = 3 Perfect Emeralds	1				100					28	gsg,gty=27	wms						gpg																													gpg																													gpg																													0
27 Standard Diamonds + Thawing = 3 Perfect Diamonds	1				100					28	gsw,gty=27	wms						gpw																													gpw																													gpw																													0
27 Standard Skulls + Thawing = 3 Perfect Skulls	1				100					28	sku,gty=27	wms						skz																													skz																													skz																													0
3 Perfect Gems + Thawing Potion + 1 Standard Amethyst -> 3 Perfect Amethyst	1				100					5	gem4,qty=3	wms	gsv					gpv																													gpv																													gpv																													0
3 Perfect Gems + Thawing Potion + 1 Standard Diamond -> 3 Perfect Diamonds	1				100					5	gem4,qty=3	wms	gsw					gpw																													gpw																													gpw																													0
3 Perfect Gems + Thawing Potion + 1 Standard Emerald -> 3 Perfect Emeralds	1				100					5	gem4,qty=3	wms	gsg					gpg																													gpg																													gpg																													0
3 Perfect Gems + Thawing Potion + 1 Standard Ruby -> 3 Perfect Rubies	1				100					5	gem4,qty=3	wms	gsr					gpr																													gpr																													gpr																													0
3 Perfect Gems + Thawing Potion + 1 Standard Sapphire -> 3 Perfect Sapphires	1				100					5	gem4,qty=3	wms	gsb					gpb																													gpb																													gpb																													0
3 Perfect Gems + Thawing Potion + 1 Standard Topaz -> 3 Perfect Topazes	1				100					5	gem4,qty=3	wms	gsy					gpy																													gpy																													gpy																													0
3 Perfect Gems + Thawing Potion + 1 Standard Skull -> 3 Perfect Skulls	1				100					5	gem4,qty=3	wms	sku					skz																													skz																													skz																													0
20 Perfect Amethysts + Prime Sigil = 1 Ascended Amethyst + SoH	1				100					21	gpv,qty=20	gwh						gav																													std																																																										0
20 Perfect Diamonds + Prime Sigil = 1 Ascended Diamond + SoH	1				100					21	gpw,qty=20	gwh						gaw																													std																																																										0
