ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	*skillID	*CTC	UICategory	RunewordCategory1	RunewordCategory2	Restricted
Spear	spea	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0						
Polearm	pole	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0						
Crossbow	xbow	miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0						
Mace	mace	blun	ac5	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0						
Helm	helm	armo	merc	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0						
Missile Potion	tpot	thro		0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	3			0							misc	0						
Quest	ques			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
Body Part	body	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Key	key	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0						
Throwing Knife	tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	1	40	2	0	3			0							misc	0						
Throwing Axe	taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	4	0	3			0							misc	0						
Javelin	jave	comb	spea	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	4	0	3			0							misc	0						
Weapon	weap	gold		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0						
Melee Weapon	mele	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0						
Missile Weapon	miss	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Thrown Weapon	thro	weap		0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Combo Weapon	comb	mele	thro	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Any Armor	armo	gold		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0						
Any Shield	shld	armo	seco	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Miscellaneous	misc			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Socket Filler	sock	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
Second Hand	seco			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Staves And Rods	rod	blun		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Missile	misl	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
Blunt	blun	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Expansion																																			0						
Jewel	jewl	sock	poti	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0						
Class Specific	clas			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Amazon Item	amaz	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		ama	0								0						
Barbarian Item	barb	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		bar	0								0						
Necromancer Item	necr	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		nec	0								0						
Paladin Item	pala	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		pal	0								0						
Sorceress Item	sorc	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		sor	0								0						
Assassin Item	assn	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	2	ass	ass	0							weap	0						
Druid Item	drui	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		dru	0								0						
Hand to Hand	h2h	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2		ass	0							weap	0						
Orb	orb	weap	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	sor	sor	0							weap	0						
Voodoo Heads	head	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	nec	nec	0							armo	0						
Auric Shields	ashd	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		pal	0							armo	0						
Primal Helm	phlm	helm	barb	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	bar	bar	0							armo	0						
Pelt	pelt	helm	drui	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	dru	dru	0							armo	0						
Cloak	cloa	tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	1	ass	ass	0							armo	0						
Rune	rune	sock	poti	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Circlet	circ	helm		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	3			0							armo	0						
Healing Potion	hpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0						
Mana Potion	mpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0						
Rejuv Potion	rpot	hpot	mpot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0						
Stamina Potion	spot	poti		0	0					0	0	0	1			1	1	0	25	0	40	0	0	3			0							misc	0						
Antidote Potion	apot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0						
Thawing Potion	wpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0						
Small Charm	scha	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0						
Medium Charm	mcha	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch2	invch5	invch8				misc	0						
Large Charm	lcha	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0						
Amazon Bow	abow	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	5	1	1		ama	0							weap	0						
Amazon Spear	aspe	spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	1		ama	0							weap	0						
Amazon Javelin	ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	2	40	3	0	1		ama	0							misc	0						
Hand to Hand 2	h2h2	h2h		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2	ass	ass	0							weap	0						
Magic Bow Quiv	mboq	bowq		0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0						
Magic Xbow Quiv	mxbq	xboq		0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0						
Chipped Gem	gem0	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Flawed Gem	gem1	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Standard Gem	gem2	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Flawless Gem	gem3	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Perfect Gem	gem4	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Amethyst	gema	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Diamond	gemd	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Emerald	geme	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Ruby	gemr	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Sapphire	gems	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Topaz	gemt	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Skull	gemz	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Swords and Knives	blde	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Spears and Polearms	sppl	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0						
Storage Bag	SBAG																										0							misc	0						
Remover	RMVR																										0							misc	0						
Converter	CNVT																										0							misc	0						
Bottle	BTTL																										0							misc	0						
Socket Puncher	PNCH																																		0						
Reroller	ROLL																																		0						
Charms	chms	char	weap	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							weap	0	110	id 1 lev47				
Jewelery	jwly	misc		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0	109	id 1 lev46				
Ascended Gem	gem5	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0			gems			
Helm	merc			1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0	36	id 0 lev37	helms	r_hel		
2Handed Melee Weapon	2han			1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	1	3			0								0	111	id 1 lev48				
Organ	orgn	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc	0	110	id 1 lev47				
Keys	ukey	misc		0	0					0	0	0	1			0	0	0	25	0	40	0	0	3			0							misc	0	111	id 1 lev48				
Act 3 and 5 Weapons	ac5			1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	1	3			0								0	112	id 1 lev49				
a095	a095			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	114	id 1 lev51				
a096	a096			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	115	id 1 lev52				
a097	a097			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	116	id 1 lev53				
a098	a098			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	117	id 1 lev54				
a099	a099			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	118	id 1 lev55				
a100	a100			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	119	id 1 lev56				
a101	a101			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	120	id 1 lev57				
a102	a102			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	121	id 1 lev58				
a103	a103			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	122	id 1 lev59				
a104	a104			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	123	id 1 lev60				
a105	a105			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	124	id 1 lev61				
a106	a106			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	125	id 1 lev62				
a107	a107			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	126	id 1 lev63				
a108	a108			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	127	id 2 lev0				
a109	a109			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	128	id 2 lev1				
a110	a110			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	129	id 2 lev2				
a111	a111			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	130	id 2 lev3				
a112	a112			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	131	id 2 lev4				
a113	a113			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	132	id 2 lev5				
a114	a114			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	133	id 2 lev6				
a115	a115			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	134	id 2 lev7				
a116	a116			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	135	id 2 lev8				
a117	a117			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	136	id 2 lev9				
a118	a118			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	137	id 2 lev10				
a119	a119			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	138	id 2 lev11				
a120	a120			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	139	id 2 lev12				
a121	a121			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	140	id 2 lev13				
a122	a122			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	141	id 2 lev14				
a123	a123			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	142	id 2 lev15				
a124	a124			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	143	id 2 lev16				
a125	a125			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	144	id 2 lev17				
a126	a126			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	145	id 2 lev18				
a127	a127			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	146	id 2 lev19				
a128	a128			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	147	id 2 lev20				
a129	a129			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	148	id 2 lev21				
a130	a130			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	149	id 2 lev22				
a131	a131			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	150	id 2 lev23				
a132	a132			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	151	id 2 lev24				
a133	a133			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	152	id 2 lev25				
a134	a134			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	153	id 2 lev26				
a135	a135			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	154	id 2 lev27				
a136	a136			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	155	id 2 lev28				
a137	a137			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	156	id 2 lev29				
a138	a138			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	157	id 2 lev30				
a139	a139			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	158	id 2 lev31				
a140	a140			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	159	id 2 lev32				
a141	a141			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	160	id 2 lev33				
a142	a142			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	161	id 2 lev34				
a143	a143			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	162	id 2 lev35				
a144	a144			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	163	id 2 lev36				
a145	a145			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	164	id 2 lev37				
a146	a146			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	165	id 2 lev38				
a147	a147			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	166	id 2 lev39				
a148	a148			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	167	id 2 lev40				
a149	a149			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	168	id 2 lev41				
a150	a150			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	169	id 2 lev42				
a151	a151			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	170	id 2 lev43				
a152	a152			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	171	id 2 lev44				
a153	a153			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	172	id 2 lev45				
a154	a154			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	173	id 2 lev46				
a155	a155			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	174	id 2 lev47				
a156	a156			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	175	id 2 lev48				
a157	a157			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	176	id 2 lev49				
a158	a158			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	177	id 2 lev50				
a159	a159			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	178	id 2 lev51				
a160	a160			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	179	id 2 lev52				
a161	a161			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	180	id 2 lev53				
a162	a162			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	181	id 2 lev54				
a163	a163			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	182	id 2 lev55				
a164	a164			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	183	id 2 lev56				
a165	a165			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	184	id 2 lev57				
a166	a166			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	185	id 2 lev58				
a167	a167			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	186	id 2 lev59				
a168	a168			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	187	id 2 lev60				
a169	a169			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	188	id 2 lev61				
a170	a170			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	189	id 2 lev62				
a171	a171			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	190	id 2 lev63				
a172	a172			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	191	id 3 lev0				
a173	a173			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	192	id 3 lev1				
a174	a174			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	193	id 3 lev2				
a175	a175			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	194	id 3 lev3				
a176	a176			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	195	id 3 lev4				
a177	a177			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	196	id 3 lev5				
a178	a178			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	197	id 3 lev6				
a179	a179			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	198	id 3 lev7				
a180	a180			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	199	id 3 lev8				
a181	a181			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	200	id 3 lev9				
a182	a182			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	201	id 3 lev10				
a183	a183			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	202	id 3 lev11				
a184	a184			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	203	id 3 lev12				
a185	a185			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	204	id 3 lev13				
a186	a186			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	205	id 3 lev14				
a187	a187			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	206	id 3 lev15				
a188	a188			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	207	id 3 lev16				
a189	a189			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	208	id 3 lev17				
a190	a190			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	209	id 3 lev18				
a191	a191			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	210	id 3 lev19				
a192	a192			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	211	id 3 lev20				
a193	a193			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	212	id 3 lev21				
a194	a194			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	213	id 3 lev22				
a195	a195			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	214	id 3 lev23				
a196	a196			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	215	id 3 lev24				
a197	a197			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	216	id 3 lev25				
a198	a198			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	217	id 3 lev26				
a199	a199			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	218	id 3 lev27				
a200	a200			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	219	id 3 lev28				
a201	a201			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	220	id 3 lev29				
a202	a202			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	221	id 3 lev30				
a203	a203			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	222	id 3 lev31				
a204	a204			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	223	id 3 lev32				
a205	a205			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	224	id 3 lev33				
a206	a206			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	225	id 3 lev34				
a207	a207			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	226	id 3 lev35				
a208	a208			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	227	id 3 lev36				
a209	a209			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	228	id 3 lev37				
a210	a210			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	229	id 3 lev38				
a211	a211			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	230	id 3 lev39				
a212	a212			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	231	id 3 lev40				
a213	a213			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	232	id 3 lev41				
a214	a214			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	233	id 3 lev42				
a215	a215			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	234	id 3 lev43				
a216	a216			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	235	id 3 lev44				
a217	a217			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	236	id 3 lev45				
a218	a218			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	237	id 3 lev46				
a219	a219			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	238	id 3 lev47				
a220	a220			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	239	id 3 lev48				
a221	a221			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	240	id 3 lev49				
a222	a222			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	241	id 3 lev50				
